Site,Species,Leaf number,Canopy or understory,Date,Curve routine,Step in curve,Outlier?,Observation,Time (not adjusted for NT),Time adjusted,Ftime,Photosynthesis (umol m-2 s-1),Conductance to H2O (mol m-2 s-1),Ci (umol mol-1),Leaf temp (C),PAR inside chamber (umol m-2 s-1)
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,1,Yes,1,13:07:43,12:37:43,897.5,18.1,0.184,193,32.8,2000
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,2,Yes,2,13:10:13,12:40:13,1048.5,14.8,0.234,142,32.22,1999
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,3,,3,13:13:14,12:43:14,1229.5,8.98,0.338,166,32.12,1999
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,4,,4,13:16:23,12:46:23,1418.5,4.78,0.381,118,31.97,2000
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,5,,5,13:18:29,12:48:29,1544.5,-0.625,0.398,70.3,31.94,2001
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,6,,6,13:20:52,12:50:52,1687.5,-1.99,0.429,53.5,31.92,2001
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,7,,7,13:23:19,12:53:19,1834.5,9.58,0.441,174,32.11,1999
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,8,,8,13:25:50,12:55:50,1985.5,16.3,0.358,285,32.11,1999
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,9,,9,13:28:22,12:58:22,2137,18.8,0.315,483,31.88,2000
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,10,,10,13:30:53,13:00:53,2288,15.2,0.286,825,32.02,2000
Howard Springs,Eucalyptus miniata,0,Canopy,2-Sep-08,A/Ci,11,,11,13:32:56,13:02:56,2411,14.1,0.274,1040,32.15,2000
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,1,Yes,22,14:15:58,13:45:58,4992.5,23.4,0.212,173,33.33,1999
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,2,Yes,23,14:18:17,13:48:17,5131.5,18.9,0.224,107,33.12,1999
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,3,,24,14:20:15,13:50:15,5250.5,7.79,0.238,156,32.96,1999
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,4,,25,14:23:15,13:53:15,5430.5,3.71,0.277,117,32.53,2000
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,5,,26,14:25:35,13:55:35,5570.5,-1.17,0.318,74.7,32.11,2001
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,6,,27,14:27:26,13:57:26,5681.5,-2.34,0.358,58.4,31.85,2000
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,7,,28,14:29:51,13:59:51,5826.5,10.2,0.375,166,31.98,2001
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,8,,29,14:32:22,14:02:22,5977.5,18,0.323,269,32.09,2000
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,9,,30,14:34:53,14:04:53,6128.5,20.4,0.306,475,32.01,2000
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,10,,31,14:37:24,14:07:24,6279.5,15.4,0.302,833,32.08,2000
Howard Springs,Eucalyptus miniata,1,Canopy,2-Sep-08,A/Ci,11,,32,14:39:55,14:09:55,6430.5,14.6,0.283,1050,32.17,1999
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,1,,1,14:46:48,13:16:48,1017,15.7,0.211,234,31.93,2001
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,2,,2,14:49:49,13:19:49,1197,13.9,0.359,187,31.78,2002
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,3,,3,14:52:31,13:22:31,1360,11.6,0.403,161,31.99,2000
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,4,,4,14:55:28,13:25:28,1537,6.27,0.422,113,31.8,2000
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,5,,5,14:57:14,13:27:14,1643,0.207,0.427,66.3,31.94,2000
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,6,,6,15:00:14,13:30:14,1823,-1.96,0.504,47.3,31.95,2001
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,7,,7,15:03:15,13:33:15,2003,11.8,0.425,161,32.12,1999
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,8,,8,15:04:35,13:34:35,2083,21.5,0.371,260,32.06,2001
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,9,,9,15:06:49,13:36:49,2217,28.4,0.33,434,31.98,2000
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,10,,10,15:08:29,13:38:29,2317,27.8,0.329,762,31.9,2000
Howard Springs,Eucalyptus miniata,2,Canopy,2-Sep-08,A/Ci,11,,11,15:10:59,13:40:59,2467.5,26.1,0.305,973,31.89,2001
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,1,,1,17:09:50,15:39:50,186.5,9.91,0.0894,190,33.5,1999
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,2,,2,17:12:29,15:42:29,346.5,7.06,0.106,151,33.11,2001
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,3,,3,17:14:05,15:44:05,442.5,6.01,0.126,135,32.89,2001
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,4,,4,17:16:35,15:46:35,592.5,3.65,0.164,104,32.45,2000
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,5,,5,17:19:06,15:49:06,742.5,0.199,0.216,65.7,32.25,2001
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,6,,6,17:21:36,15:51:36,892.5,-1.04,0.272,49.3,31.99,2000
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,7,,7,17:24:00,15:54:00,1036.5,9.27,0.312,155,31.92,2000
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,8,,8,17:26:01,15:56:01,1157.5,15.9,0.212,232,32.2,2000
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,9,,9,17:28:02,15:58:02,1278.5,23,0.175,349,32.22,2000
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,10,,10,17:30:03,16:00:03,1399.5,26.8,0.159,603,32.13,2000
Howard Springs,Eucalyptus miniata,3,Canopy,2-Sep-08,A/Ci,11,,11,17:32:04,16:02:04,1520.5,27.8,0.145,793,32.09,2001
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,1,,1,16:06:59,15:36:59,767,9.91,0.097,200,33.48,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,2,,2,16:09:04,15:39:04,891,8.05,0.137,160,32.9,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,3,,3,16:11:45,15:41:45,1053,7.93,0.2,147,32.32,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,4,,4,16:14:27,15:44:27,1215,4.61,0.258,110,31.92,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,5,,5,16:16:57,15:46:57,1365,-0.602,0.317,70.7,31.94,1999
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,6,,6,16:19:28,15:49:28,1516,-2.55,0.372,61.3,31.88,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,7,,7,16:21:59,15:51:59,1666,11.5,0.41,162,31.99,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,8,,8,16:24:00,15:54:00,1787,20.1,0.35,265,32.19,1999
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,9,,9,16:26:01,15:56:01,1908,24.6,0.303,448,32.1,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,10,,10,16:28:02,15:58:02,2029,21.3,0.28,787,31.97,2000
Howard Springs,Eucalyptus miniata,4,Canopy,2-Sep-08,A/Ci,11,,11,16:29:54,15:59:54,2141,18.4,0.261,1010,31.94,2000
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,1,,22,18:12:18,16:42:18,3934.5,20.2,0.229,214,32.49,2002
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,2,,23,18:14:48,16:44:48,4084.5,11.5,0.243,177,31.98,2000
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,3,,24,18:17:18,16:47:18,4235.5,9.04,0.272,155,32.03,2001
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,4,,25,18:19:49,16:49:49,4386.5,5.02,0.319,111,32.04,2001
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,5,,26,18:22:23,16:52:23,4540.5,0.353,0.38,65,31.98,2000
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,6,,27,18:24:59,16:54:59,4696.5,-0.939,0.44,53.3,31.92,2000
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,7,,28,18:27:19,16:57:19,4836.5,10.6,0.44,169,32.01,1999
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,8,,29,18:29:20,16:59:20,4957.5,18.7,0.335,266,32.12,1998
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,9,,30,18:31:21,17:01:21,5079,23.6,0.296,445,31.98,2000
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,10,,31,18:33:22,17:03:22,5200,24.3,0.267,766,31.88,2000
Howard Springs,Eucalyptus miniata,5,Canopy,2-Sep-08,A/Ci,11,,32,18:34:58,17:04:58,5295,23.8,0.26,975,31.98,2000
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,1,Yes,22,17:10:40,16:40:40,4588,20.7,0.145,127,33.38,2000
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,2,Yes,23,17:12:42,16:42:42,4709,15.4,0.188,112,32.93,2000
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,3,Yes,24,17:14:43,16:44:43,4830,15.4,0.226,86.4,32.53,2000
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,4,,25,17:17:05,16:47:05,4973,4.23,0.269,114,32.18,2001
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,5,,26,17:19:35,16:49:35,5123,-0.716,0.311,71.1,31.9,2000
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,6,,27,17:21:47,16:51:47,5255,-1.54,0.343,60.2,31.98,2000
