Site,Species,Leaf number,Canopy or understory,Date,Curve routine,Step in curve,Outlier?,Observation,Time (not adjusted for NT),Time adjusted,Ftime,Photosynthesis (umol m-2 s-1),Conductance to H2O (mol m-2 s-1),Ci (umol mol-1),Leaf temp (C),PAR inside chamber (umol m-2 s-1)
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,7,,28,17:24:17,16:54:17,5405,9.61,0.369,168,31.96,1999
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,8,,29,17:26:07,16:56:07,5515,17.4,0.35,281,32.07,2000
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,9,,30,17:28:08,16:58:08,5636,19.4,0.322,490,32.09,1999
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,10,,31,17:30:09,17:00:09,5757,17.4,0.298,821,32.02,2001
Howard Springs,Eucalyptus miniata,6,Canopy,2-Sep-08,A/Ci,11,,32,17:32:10,17:02:10,5878,15.6,0.28,1040,31.92,2001
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,1,,1,15:23:17,14:53:17,870.5,8.01,0.0839,191,34.85,2001
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,2,,2,15:25:18,14:55:18,991.5,6.14,0.111,154,34.52,2000
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,3,,3,15:27:54,14:57:54,1148,4.83,0.129,142,34.26,2000
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,4,,4,15:30:25,15:00:25,1299,2.27,0.147,110,34.07,1999
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,5,,5,15:32:54,15:02:54,1448,-0.656,0.164,75.1,33.87,2001
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,6,,6,15:35:29,15:05:29,1603,-1.99,0.192,59.1,33.61,2000
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,7,,7,15:38:01,15:08:01,1755,6.84,0.21,151,33.4,1999
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,8,,8,15:39:39,15:09:39,1852.5,12.8,0.202,247,33.36,2000
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,9,,9,15:41:40,15:11:40,1973.5,17.2,0.187,416,33.48,1999
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,10,,10,15:42:57,15:12:57,2050.5,15.6,0.18,750,33.49,2000
Howard Springs,Eucalyptus tetrodonta,1,Canopy,3-Sep-08,A/Ci,11,,11,15:44:58,15:14:58,2171.5,15.2,0.17,953,33.55,2000
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,1,,1,16:28:06,14:58:06,879,9.93,0.107,204,33.9,1999
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,2,,2,16:30:41,15:00:41,1033,6.27,0.124,169,33.6,1999
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,3,,3,16:33:14,15:03:14,1187,5.61,0.16,152,33.31,2000
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,4,,4,16:35:45,15:05:45,1338,2.97,0.195,112,33.13,2000
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,5,,5,16:38:19,15:08:19,1492,-0.101,0.234,69.3,32.83,1999
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,6,,6,16:40:50,15:10:50,1643,-1.49,0.272,49.4,32.51,1999
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,7,,7,16:43:17,15:13:17,1790,7.71,0.306,169,32.27,1999
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,8,,8,16:45:18,15:15:18,1910.5,14.7,0.28,277,32.32,2001
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,9,,9,16:47:19,15:17:19,2032,20.2,0.243,445,32.45,2001
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,10,,10,16:49:20,15:19:20,2153,21.2,0.216,743,32.59,2001
Howard Springs,Eucalyptus tetrodonta,2,Canopy,3-Sep-08,A/Ci,11,,11,16:51:21,15:21:21,2274,20.2,0.189,936,32.5,2000
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,1,,20,17:48:16,16:18:16,5688.5,10.7,0.123,209,34.32,2000
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,2,,21,17:50:16,16:20:16,5809.5,6.83,0.117,151,33.56,1999
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,3,,22,17:52:51,16:22:51,5964,4.72,0.127,145,33.09,2000
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,4,,23,17:55:32,16:25:32,6125,2.59,0.152,108,32.34,2001
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,5,,24,17:58:12,16:28:12,6285,-0.124,0.194,68.5,31.82,1999
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,6,,25,18:00:51,16:30:51,6444,-1.27,0.235,50.1,31.96,2001
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,7,,26,18:03:30,16:33:30,6602,7.1,0.261,162,32.09,1999
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,8,,27,18:05:04,16:35:04,6696,13.8,0.257,266,32.03,2000
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,9,,28,18:07:05,16:37:05,6817,19.1,0.235,437,32.11,1999
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,10,,29,18:09:06,16:39:06,6938,19.9,0.218,742,32.03,2001
Howard Springs,Eucalyptus tetrodonta,3,Canopy,3-Sep-08,A/Ci,11,,30,18:11:07,16:41:07,7059,19.4,0.202,942,32.03,2001
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,1,,12,16:46:03,16:16:03,5837,5.27,0.0499,176,35.05,2000
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,2,,13,16:48:04,16:18:04,5958,2.84,0.0503,156,34.46,2000
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,3,,14,16:50:51,16:20:51,6125,0.798,0.0156,119,33.79,1999
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,4,,15,16:53:30,16:23:30,6284,1.25,0.0698,107,33.27,2001
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,5,,16,16:56:07,16:26:07,6441,-0.623,0.0817,81.1,32.83,2000
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,6,,17,16:58:44,16:28:44,6598,-1.32,0.0938,68.2,32.4,2000
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,7,,18,17:00:45,16:30:45,6719,4.86,0.104,124,32.15,2000
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,8,,19,17:02:46,16:32:46,6840,9.74,0.103,185,31.95,2000
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,9,,20,17:04:47,16:34:47,6961.5,15.2,0.1,295,31.97,2000
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,10,,21,17:06:48,16:36:48,7082.5,18.2,0.0954,540,32.06,1999
Howard Springs,Eucalyptus tetrodonta,4,Canopy,3-Sep-08,A/Ci,11,,22,17:08:49,16:38:49,7203.5,18.2,0.088,718,32.06,1999
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,1,,41,18:43:00,17:13:00,8972,8.84,0.0876,175,32.27,2001
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,2,,42,18:45:01,17:15:01,9093,6.39,0.104,138,31.84,2000
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,3,,43,18:47:02,17:17:02,9214,5.77,0.121,121,32.01,2001
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,4,,44,18:49:43,17:19:43,9375,2.6,0.15,107,32.03,2001
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,5,,45,18:52:17,17:22:17,9530,-0.125,0.167,68.7,32,2000
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,6,,46,18:54:23,17:24:23,9656,-1.28,0.185,52.9,31.93,2000
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,7,,47,18:56:27,17:26:27,9780,6.35,0.199,151,31.9,2001
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,8,,48,18:58:02,17:28:02,9874,12.6,0.203,249,32.03,2000
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,9,,49,19:00:02,17:30:02,9995,19.4,0.192,395,32.08,1999
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,10,,50,19:02:03,17:32:03,10116,22.5,0.181,673,32.03,1999
Howard Springs,Eucalyptus tetrodonta,5,Canopy,3-Sep-08,A/Ci,11,,51,19:04:04,17:34:04,10237,23.1,0.171,859,31.96,1998
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,1,,33,17:44:39,17:14:39,9352,5.28,0.0562,199,32.38,1999
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,2,,34,17:46:40,17:16:40,9473,3.34,0.0607,160,31.88,2000
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,3,,35,17:49:15,17:19:15,9629,3.08,0.0748,137,31.92,2000
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,4,,36,17:51:54,17:21:54,9788,1.35,0.0726,106,31.94,2001
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,5,,37,17:54:29,17:24:29,9942,-0.552,0.0864,78.7,31.93,2000
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,6,,38,17:57:12,17:27:12,10106,-0.189,0.0155,66.6,31.96,2000
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,7,,39,17:59:13,17:29:13,10227,4.19,0.079,117,31.97,1999
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,8,,40,18:01:14,17:31:14,10348,7.95,0.0821,193,32,1999
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,9,,41,18:03:15,17:33:15,10469,12.8,0.0829,313,32.03,2000
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,10,,42,18:05:16,17:35:16,10590,14.2,0.0823,601,32.03,2000
Howard Springs,Eucalyptus tetrodonta,6,Canopy,3-Sep-08,A/Ci,11,,43,18:07:17,17:37:17,10711,13.5,0.0815,828,32.04,2000
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,1,,1,14:14:55,12:44:55,1373,13.4,0.145,194,32.31,2000
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,2,,2,14:16:56,12:46:56,1494,8.65,0.142,141,31.84,1999
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,3,,3,14:18:56,12:48:56,1614,6.79,0.153,126,31.92,1999
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,4,,4,14:21:31,12:51:31,1770,3.83,0.176,96.9,32,1999
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,5,,5,14:24:07,12:54:07,1926,0.267,0.227,64.8,31.9,2001
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,6,,6,14:26:41,12:56:41,2080,-1.29,0.277,49.3,31.93,2000
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,7,,7,14:28:42,12:58:42,2200.5,10.1,0.298,145,32.07,1999
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,8,,8,14:30:43,13:00:43,2321.5,19.7,0.291,232,32.1,2000
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,9,,9,14:32:43,13:02:43,2442,29,0.27,372,31.97,1999
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,10,,10,14:34:22,13:04:22,2540,32.2,0.265,668,31.95,1999
Adelaide River,Corymbia latifolia,1,Canopy,6-Sep-08,A/Ci,11,,11,14:36:22,13:06:22,2661,31.8,0.255,872,32.03,2001
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,1,,1,13:11:53,12:41:53,1420,6.76,0.0692,216,32.94,2001
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,2,,2,13:14:23,12:44:23,1571,3.52,0.065,174,32.55,1999
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,3,,3,13:16:53,12:46:53,1721,3.51,0.0947,157,32.22,1999
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,4,,4,13:19:05,12:49:05,1853,1.44,0.11,120,32.04,1999
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,5,,5,13:21:35,12:51:35,2003,-0.652,0.158,75.3,31.92,2000
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,6,,6,13:23:25,12:53:25,2113,-1.77,0.183,56,31.95,2000
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,7,,7,13:25:55,12:55:55,2263,6.25,0.232,172,32.21,2000
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,8,,8,13:28:24,12:58:24,2412,12.4,0.219,277,32.29,1999
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,9,,9,13:30:25,13:00:25,2533,18.6,0.202,442,32.47,2000
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,10,,10,13:32:27,13:02:27,2654,22,0.197,732,32.7,2001
Adelaide River,Corymbia latifolia,2,Canopy,6-Sep-08,A/Ci,11,,11,13:34:27,13:04:27,2775,22.4,0.172,910,32.94,1999
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,1,,22,15:16:26,13:46:26,5064,5.69,0.0467,181,33.69,2001
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,2,,23,15:18:27,13:48:27,5185,4.35,0.055,137,33.45,2000
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,3,,24,15:20:21,13:50:21,5300,3.67,0.0639,124,33.15,1998
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,4,,25,15:22:27,13:52:27,5426,2.27,0.0786,95.5,32.86,2000
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,5,,26,15:24:45,13:54:45,5564,-0.016,0.0912,67.8,32.62,2001
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,6,,27,15:27:22,13:57:22,5721,-0.992,0.1,56.3,32.31,2001
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,7,,28,15:29:53,13:59:53,5871,5.1,0.103,131,32.2,2000
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,8,,29,15:32:24,14:02:24,6022,10.2,0.0912,186,32.24,2001
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,9,,30,15:34:25,14:04:25,6143,16.7,0.0852,277,32.12,1999
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,10,,31,15:36:26,14:06:26,6264,22.5,0.0809,462,32.25,1999
