aligned_name,taxon_name,taxon_rank,taxonomic_status,taxonomic_dataset,taxon_name_alternatives,genus,family,binomial,trinomial,taxon_distribution,establishment_means,scientific_name,taxon_id,taxon_id_genus,taxon_id_family,scientific_name_id,aligned_name_taxon_id,aligned_name_taxonomic_status
Aglaia meridionalis,Aglaia meridionalis,species,accepted,APC,NA,Aglaia,Meliaceae,Aglaia meridionalis,NA,Qld,native,Aglaia meridionalis Pannell,https://id.biodiversity.org.au/node/apni/2898398,https://id.biodiversity.org.au/node/apni/7433966,https://id.biodiversity.org.au/node/apni/9261145,https://id.biodiversity.org.au/name/apni/178461,https://id.biodiversity.org.au/node/apni/2898398,accepted
Amoora ferruginea,Aglaia meridionalis,species,accepted,APC,NA,Aglaia,Meliaceae,Aglaia meridionalis,NA,Qld,native,Aglaia meridionalis Pannell,https://id.biodiversity.org.au/node/apni/2898398,https://id.biodiversity.org.au/node/apni/7433966,https://id.biodiversity.org.au/node/apni/9261145,https://id.biodiversity.org.au/name/apni/178461,https://id.biodiversity.org.au/instance/apni/872692,basionym
Aleurites rockinghamensis,Aleurites rockinghamensis,species,accepted,APC,NA,Aleurites,Euphorbiaceae,Aleurites rockinghamensis,NA,Qld,native,Aleurites rockinghamensis (Baill.) P.I.Forst.,https://id.biodiversity.org.au/node/apni/2916622,https://id.biodiversity.org.au/node/apni/2900410,https://id.biodiversity.org.au/taxon/apni/51442249,https://id.biodiversity.org.au/name/apni/171057,https://id.biodiversity.org.au/node/apni/2916622,accepted
Alpinia caerulea,Alpinia caerulea,species,accepted,APC,NA,Alpinia,Zingiberaceae,Alpinia caerulea,NA,"Qld, NSW",native,Alpinia caerulea (R.Br.) Benth.,https://id.biodiversity.org.au/taxon/apni/51294760,https://id.biodiversity.org.au/taxon/apni/51448963,https://id.biodiversity.org.au/taxon/apni/51448964,https://id.biodiversity.org.au/name/apni/83086,https://id.biodiversity.org.au/taxon/apni/51294760,accepted
Alpinia coerulea,Alpinia caerulea,species,accepted,APC,NA,Alpinia,Zingiberaceae,Alpinia caerulea,NA,"Qld, NSW",native,Alpinia caerulea (R.Br.) Benth.,https://id.biodiversity.org.au/taxon/apni/51294760,https://id.biodiversity.org.au/taxon/apni/51448963,https://id.biodiversity.org.au/taxon/apni/51448964,https://id.biodiversity.org.au/name/apni/83086,https://id.biodiversity.org.au/instance/apni/51294757,orthographic variant
Alstonia scholaris,Alstonia scholaris,species,accepted,APC,NA,Alstonia,Apocynaceae,Alstonia scholaris,NA,Qld,native,Alstonia scholaris (L.) R.Br.,https://id.biodiversity.org.au/node/apni/2916809,https://id.biodiversity.org.au/node/apni/6684160,https://id.biodiversity.org.au/taxon/apni/51736528,https://id.biodiversity.org.au/name/apni/83915,https://id.biodiversity.org.au/node/apni/2916809,accepted
Archontophoenix alexandrae,Archontophoenix alexandrae,species,accepted,APC,NA,Archontophoenix,Arecaceae,Archontophoenix alexandrae,NA,Qld,native,Archontophoenix alexandrae (F.Muell.) H.Wendl. & Drude,https://id.biodiversity.org.au/node/apni/6929285,https://id.biodiversity.org.au/taxon/apni/51737496,https://id.biodiversity.org.au/taxon/apni/51737497,https://id.biodiversity.org.au/name/apni/98695,https://id.biodiversity.org.au/node/apni/6929285,accepted
Ardisia pachyrrhachis,Ardisia pachyrrhachis,species,accepted,APC,NA,Ardisia,Primulaceae,Ardisia pachyrrhachis,NA,Qld,native,Ardisia pachyrrhachis (F.Muell.) F.M.Bailey,https://id.biodiversity.org.au/node/apni/2907309,https://id.biodiversity.org.au/node/apni/6722620,https://id.biodiversity.org.au/taxon/apni/51445200,https://id.biodiversity.org.au/name/apni/99205,https://id.biodiversity.org.au/instance/apni/878669,nomenclatural synonym
Argyrodendron peralatum,Argyrodendron peralatum,species,accepted,APC,NA,Argyrodendron,Malvaceae,Argyrodendron peralatum,NA,Qld,native,Argyrodendron peralatum (F.M.Bailey) Edlin ex I.H.Boas,https://id.biodiversity.org.au/node/apni/2915243,https://id.biodiversity.org.au/taxon/apni/51288410,https://id.biodiversity.org.au/taxon/apni/51439248,https://id.biodiversity.org.au/name/apni/100216,https://id.biodiversity.org.au/node/apni/2915243,accepted
Heritiera peralata,Argyrodendron peralatum,species,accepted,APC,NA,Argyrodendron,Malvaceae,Argyrodendron peralatum,NA,Qld,native,Argyrodendron peralatum (F.M.Bailey) Edlin ex I.H.Boas,https://id.biodiversity.org.au/node/apni/2915243,https://id.biodiversity.org.au/taxon/apni/51288410,https://id.biodiversity.org.au/taxon/apni/51439248,https://id.biodiversity.org.au/name/apni/100216,https://id.biodiversity.org.au/instance/apni/3864278,nomenclatural synonym
