site,latitude (deg),longitude (deg),elevation (m),MAP (mm),MAT (C),description
Howard Springs,-12.485,131.146,37,1714,27.8,eucalypt-dominated savannas
Adelaide River,-13.077,131.118,75,1532,27,eucalypt-dominated savannas
