Species,Treatment,Replicate,site,life_form,WP leaf (Mpa) predawn,WP leaf (Mpa) midday,LMA kg/m2,Stomatal density Upper surface,Stomatal density Lower surface
Arthropodium milleflorum,Drought,1,The University of Melbourne Burnley campus,geophyte,0.6,0.9,0.082253521,NA,NA
Arthropodium milleflorum,Drought,2,The University of Melbourne Burnley campus,,0.4,0.7,0.059892606,NA,NA
Arthropodium milleflorum,Drought,3,The University of Melbourne Burnley campus,,0.4,1.3,0.05856833,NA,NA
Arthropodium milleflorum,Drought,4,The University of Melbourne Burnley campus,,0.5,1.6,0.064350064,NA,NA
Arthropodium milleflorum,Drought,5,The University of Melbourne Burnley campus,,0.6,1.5,0.046806649,NA,NA
Arthropodium milleflorum,Watered,1,The University of Melbourne Burnley campus,,0.3,0.7,0.048197821,10.50955414,11.78343949
Arthropodium milleflorum,Watered,2,The University of Melbourne Burnley campus,,0.4,1,0.052235294,14.33121019,21.33757962
Arthropodium milleflorum,Watered,3,The University of Melbourne Burnley campus,,0.4,1,0.060235064,18.47133758,15.2866242
Arthropodium milleflorum,Watered,4,The University of Melbourne Burnley campus,,0.35,1.3,0.048108825,15.92356688,22.29299363
Arthropodium milleflorum,Watered,5,The University of Melbourne Burnley campus,,0.5,1.2,0.040816327,NA,NA
Brachyscome multifida,Drought,1,The University of Melbourne Burnley campus,hemicryptophyte,*,2.5,0.256375839,NA,NA
Brachyscome multifida,Drought,2,The University of Melbourne Burnley campus,,1.5,2,0.124165554,NA,NA
Brachyscome multifida,Drought,3,The University of Melbourne Burnley campus,,5.4,5.5,0.181257707,NA,NA
Brachyscome multifida,Drought,4,The University of Melbourne Burnley campus,,3.7,4,0.219354839,NA,NA
Brachyscome multifida,Drought,5,The University of Melbourne Burnley campus,,3.9,5.1,0.176325524,NA,NA
Brachyscome multifida,Watered,1,The University of Melbourne Burnley campus,,0.5,1.4,0.111372549,14.33121019,17.19745223
Brachyscome multifida,Watered,2,The University of Melbourne Burnley campus,,0.5,0.95,0.089586524,17.51592357,17.19745223
Brachyscome multifida,Watered,3,The University of Melbourne Burnley campus,,0.45,1.1,0.163895487,13.37579618,10.1910828
Brachyscome multifida,Watered,4,The University of Melbourne Burnley campus,,0.55,1.2,0.088290545,15.2866242,14.96815287
Brachyscome multifida,Watered,5,The University of Melbourne Burnley campus,,0.45,1.2,0.120701281,NA,NA
Calytrix tetragona,Drought,1,The University of Melbourne Burnley campus,chamaephyte,1.6,2.5,0.491525424,NA,NA
Calytrix tetragona,Drought,2,The University of Melbourne Burnley campus,,1.85,3,0.255795364,NA,NA
Calytrix tetragona,Drought,3,The University of Melbourne Burnley campus,,1.6,2.8,0.423791822,NA,NA
Calytrix tetragona,Drought,4,The University of Melbourne Burnley campus,,1.7,2.7,0.504901961,NA,NA
Calytrix tetragona,Drought,5,The University of Melbourne Burnley campus,,2.7,3,0.311463047,NA,NA
Calytrix tetragona,Watered,1,The University of Melbourne Burnley campus,,0.4,0.9,0.178571429,17.8343949,15.60509554
Calytrix tetragona,Watered,2,The University of Melbourne Burnley campus,,0.65,1.1,0.185185185,10.82802548,12.10191083
Calytrix tetragona,Watered,3,The University of Melbourne Burnley campus,,0.65,1.1,0.203971119,16.24203822,15.2866242
Calytrix tetragona,Watered,4,The University of Melbourne Burnley campus,,0.5,1.2,0.176470588,12.42038217,21.01910828
Calytrix tetragona,Watered,5,The University of Melbourne Burnley campus,,0.65,0.7,0.153716216,NA,NA
Chrysocephalum semipapposum,Drought,1,The University of Melbourne Burnley campus,hemicryptophyte,4.4,6.3,0.140952381,NA,NA
Chrysocephalum semipapposum,Drought,2,The University of Melbourne Burnley campus,,4.5,5.9,0.141997593,NA,NA
Chrysocephalum semipapposum,Drought,3,The University of Melbourne Burnley campus,,5.65,6.3,0.152790485,NA,NA
Chrysocephalum semipapposum,Drought,4,The University of Melbourne Burnley campus,,4.4,5,0.134704711,NA,NA
Chrysocephalum semipapposum,Drought,5,The University of Melbourne Burnley campus,,1,3.3,0.15727003,NA,NA
Chrysocephalum semipapposum,Watered,1,The University of Melbourne Burnley campus,,0.75,1.5,0.107432194,0,21.01910828
Chrysocephalum semipapposum,Watered,2,The University of Melbourne Burnley campus,,0.6,1.2,0.083333333,NA,NA
Chrysocephalum semipapposum,Watered,3,The University of Melbourne Burnley campus,,0.75,1.6,0.125239617,NA,NA
Chrysocephalum semipapposum,Watered,4,The University of Melbourne Burnley campus,,0.75,7,0.147113022,NA,NA
Chrysocephalum semipapposum,Watered,5,The University of Melbourne Burnley campus,,0.4,1.6,0.110573601,NA,NA
Correa reflexa,Drought,1,The University of Melbourne Burnley campus,chamaephyte,2.5,3.7,0.145881671,NA,NA
Correa reflexa,Drought,2,The University of Melbourne Burnley campus,,3,2.6,0.123863636,NA,NA
Correa reflexa,Drought,3,The University of Melbourne Burnley campus,,1.2,1.6,0.115232833,NA,NA
Correa reflexa,Drought,4,The University of Melbourne Burnley campus,,4.35,4.3,0.145281018,NA,NA
Correa reflexa,Drought,5,The University of Melbourne Burnley campus,,2.3,2.6,0.124623391,NA,NA
Correa reflexa,Watered,1,The University of Melbourne Burnley campus,,0.55,1.05,0.065633546,0,41.40127389
Correa reflexa,Watered,2,The University of Melbourne Burnley campus,,0.75,1.35,0.074093817,0,38.21656051
