Species,Treatment,Replicate,site,life_form,WP leaf (Mpa) predawn,WP leaf (Mpa) midday,LMA kg/m2,Stomatal density Upper surface,Stomatal density Lower surface
Correa reflexa,Watered,3,The University of Melbourne Burnley campus,,0.7,1.1,0.107227488,0,34.39490446
Correa reflexa,Watered,4,The University of Melbourne Burnley campus,,0.8,1.55,0.116478798,0,37.89808917
Correa reflexa,Watered,5,The University of Melbourne Burnley campus,,0.7,1.4,0.061672185,NA,NA
Derwentia perfoliata,Drought,1,The University of Melbourne Burnley campus,hemicryptophyte,1.8,3.65,0.083481745,NA,NA
Derwentia perfoliata,Drought,2,The University of Melbourne Burnley campus,,1.5,3.2,0.097940007,NA,NA
Derwentia perfoliata,Drought,3,The University of Melbourne Burnley campus,,1.3,3,0.108187135,NA,NA
Derwentia perfoliata,Drought,4,The University of Melbourne Burnley campus,,1.7,3.5,0.088904204,NA,NA
Derwentia perfoliata,Drought,5,The University of Melbourne Burnley campus,,2.7,4.8,0.087793068,NA,NA
Derwentia perfoliata,Watered,1,The University of Melbourne Burnley campus,,0.4,1.45,0.108191654,26.11464968,23.56687898
Derwentia perfoliata,Watered,2,The University of Melbourne Burnley campus,,0.45,2.25,0.08655182,22.92993631,17.51592357
Derwentia perfoliata,Watered,3,The University of Melbourne Burnley campus,,0.4,2,0.10755104,25.15923567,24.84076433
Derwentia perfoliata,Watered,4,The University of Melbourne Burnley campus,,0.4,2,0.098340947,33.12101911,26.11464968
Derwentia perfoliata,Watered,5,The University of Melbourne Burnley campus,,0.35,1.6,0.102072741,NA,NA
Dianella admixta,Drought,1,The University of Melbourne Burnley campus,hemicryptophyte,0.65,2.2,0.140350877,NA,NA
Dianella admixta,Drought,2,The University of Melbourne Burnley campus,,1,2.3,0.175,NA,NA
Dianella admixta,Drought,3,The University of Melbourne Burnley campus,,1.6,2.8,0.171903052,NA,NA
Dianella admixta,Drought,4,The University of Melbourne Burnley campus,,1.2,2.4,0.142787286,NA,NA
Dianella admixta,Drought,5,The University of Melbourne Burnley campus,,0.8,2.4,0.133311604,NA,NA
Dianella admixta,Watered,1,The University of Melbourne Burnley campus,,0.45,1.5,0.111769938,0,10.82802548
Dianella admixta,Watered,2,The University of Melbourne Burnley campus,,0.45,1.2,0.12304632,0,13.05732484
Dianella admixta,Watered,3,The University of Melbourne Burnley campus,,0.9,1.7,0.150219736,0,13.69426752
Dianella admixta,Watered,4,The University of Melbourne Burnley campus,,0.35,1.1,0.108919903,NA,NA
Dianella admixta,Watered,5,The University of Melbourne Burnley campus,,0.5,1.7,0.118416273,NA,NA
Grevillea alpina,Drought,1,The University of Melbourne Burnley campus,chamaephyte,3.4,3.2,0.187120859,NA,NA
Grevillea alpina,Drought,2,The University of Melbourne Burnley campus,,6.75,6,0.30125523,NA,NA
Grevillea alpina,Drought,3,The University of Melbourne Burnley campus,,5,4.5,0.229179331,NA,NA
Grevillea alpina,Drought,4,The University of Melbourne Burnley campus,,6.3,4.4,0.21443299,NA,NA
Grevillea alpina,Drought,5,The University of Melbourne Burnley campus,,4.7,5.5,0.210941906,NA,NA
Grevillea alpina,Watered,1,The University of Melbourne Burnley campus,,0.4,1.1,0.205754615,0,40.76433121
Grevillea alpina,Watered,2,The University of Melbourne Burnley campus,,0.7,0.9,0.18128453,0,60.82802548
Grevillea alpina,Watered,3,The University of Melbourne Burnley campus,,0.3,1,0.116094987,0,51.59235669
Grevillea alpina,Watered,4,The University of Melbourne Burnley campus,,0.4,1.1,0.197409733,NA,33.75796178
Grevillea alpina,Watered,5,The University of Melbourne Burnley campus,,0.7,1.1,0.169811321,NA,NA
Hibbertia obtusifolia,Drought,1,The University of Melbourne Burnley campus,chamaephyte,3.6,3.2,0.173260573,NA,NA
Hibbertia obtusifolia,Drought,2,The University of Melbourne Burnley campus,,1.3,1.55,0.146120895,NA,NA
Hibbertia obtusifolia,Drought,3,The University of Melbourne Burnley campus,,2.4,5.4,0.16519174,NA,NA
Hibbertia obtusifolia,Drought,4,The University of Melbourne Burnley campus,,3.9,4.5,0.225699068,NA,NA
Hibbertia obtusifolia,Drought,5,The University of Melbourne Burnley campus,,3.65,4.5,0.218373494,NA,NA
Hibbertia obtusifolia,Watered,1,The University of Melbourne Burnley campus,,0.2,0.9,0.112694301,12.42038217,22.29299363
Hibbertia obtusifolia,Watered,2,The University of Melbourne Burnley campus,,0.3,0.85,0.107061503,9.554140127,NA
Hibbertia obtusifolia,Watered,3,The University of Melbourne Burnley campus,,0.3,1,0.119344774,8.598726115,23.56687898
Hibbertia obtusifolia,Watered,4,The University of Melbourne Burnley campus,,0.4,0.95,0.116392444,9.872611465,23.88535032
Hibbertia obtusifolia,Watered,5,The University of Melbourne Burnley campus,,0.3,0.9,0.117924528,NA,NA
Isotoma axillaris,Drought,1,The University of Melbourne Burnley campus,hemicryptophyte,0.6,0.95,0.148320229,NA,NA
Isotoma axillaris,Drought,2,The University of Melbourne Burnley campus,,0.5,0.9,0.062700965,NA,NA
Isotoma axillaris,Drought,3,The University of Melbourne Burnley campus,,0.65,0.9,0.122635356,NA,NA
Isotoma axillaris,Drought,4,The University of Melbourne Burnley campus,,0.9,1.3,0.133986928,NA,NA
Isotoma axillaris,Drought,5,The University of Melbourne Burnley campus,,0.9,1.1,0.10123119,NA,NA
Isotoma axillaris,Watered,1,The University of Melbourne Burnley campus,,0.4,0.9,0.116672303,5.414012739,6.369426752
Isotoma axillaris,Watered,2,The University of Melbourne Burnley campus,,0.4,0.7,0.103831006,19.74522293,21.33757962
Isotoma axillaris,Watered,3,The University of Melbourne Burnley campus,,0.4,0.9,0.098689092,22.29299363,19.74522293
Isotoma axillaris,Watered,4,The University of Melbourne Burnley campus,,0.2,1.2,0.112912736,13.05732484,12.7388535
Isotoma axillaris,Watered,5,The University of Melbourne Burnley campus,,0.3,0.9,0.116295765,NA,NA
Lomandra longifolia,Drought,1,The University of Melbourne Burnley campus,hemicryptophyte,1,1.65,0.138925877,NA,NA
Lomandra longifolia,Drought,2,The University of Melbourne Burnley campus,,1,1.8,0.148662551,NA,NA
Lomandra longifolia,Drought,3,The University of Melbourne Burnley campus,,1.9,2.4,0.134424603,NA,NA
Lomandra longifolia,Drought,4,The University of Melbourne Burnley campus,,0.5,1.2,0.160714286,NA,NA
Lomandra longifolia,Drought,5,The University of Melbourne Burnley campus,,1.5,2.2,0.163148637,NA,NA
Lomandra longifolia,Watered,1,The University of Melbourne Burnley campus,,0.3,2.2,0.148285832,43.94904459,49.36305732
Lomandra longifolia,Watered,2,The University of Melbourne Burnley campus,,0.2,1.4,0.133942766,64.64968153,60.50955414
Lomandra longifolia,Watered,3,The University of Melbourne Burnley campus,,0.4,1.1,0.119337555,46.17834395,50.31847134
Lomandra longifolia,Watered,4,The University of Melbourne Burnley campus,,0.2,1.9,0.124022929,58.28025478,47.13375796
Lomandra longifolia,Watered,5,The University of Melbourne Burnley campus,,0.45,1.3,0.110212336,NA,NA
Stypandra glauca,Drought,1,The University of Melbourne Burnley campus,hemicryptophyte,0.8,0.9,0.107769859,NA,NA
Stypandra glauca,Drought,2,The University of Melbourne Burnley campus,,0.6,1.5,0.114866224,NA,NA
Stypandra glauca,Drought,3,The University of Melbourne Burnley campus,,0.6,1.4,0.090559733,NA,NA
Stypandra glauca,Drought,4,The University of Melbourne Burnley campus,,0.6,1.5,0.089709763,NA,NA
Stypandra glauca,Drought,5,The University of Melbourne Burnley campus,,0.5,1.5,0.099108929,NA,NA
Stypandra glauca,Watered,1,The University of Melbourne Burnley campus,,0.3,0.8,0.107096774,48.08917197,33.43949045
Stypandra glauca,Watered,2,The University of Melbourne Burnley campus,,0.4,1.1,0.098128898,30.25477707,30.25477707
Stypandra glauca,Watered,3,The University of Melbourne Burnley campus,,0.3,1.35,0.087148594,41.08280255,32.80254777
Stypandra glauca,Watered,4,The University of Melbourne Burnley campus,,0.3,1.1,0.077266922,34.07643312,38.21656051
Stypandra glauca,Watered,5,The University of Melbourne Burnley campus,,0.4,1.2,0.079577598,NA,NA
