species_name,trait,units,value
Acanthocarpus canaliculatus,leaf length maximum,mm,15
Acanthocarpus humilis,leaf length maximum,mm,12
Acanthocarpus parviflorus,leaf length maximum,m,10
Acanthocarpus preissii,leaf length maximum,cm,7
Acanthocarpus robustus,leaf length maximum,mm,30
Acanthocarpus rupestris,leaf length maximum,mm,25
Acer pseudoplatanus,leaf length maximum,cm,16
Acidonia microcarpa,leaf length maximum,cm,13
Actinostrobus acuminatus,leaf length maximum,mm,10
Adenanthera abrosperma,leaf length maximum,mm,35
Adenanthera pavonina,leaf length maximum,mm,40
Adenanthos acanthophyllus,leaf length maximum,mm,30
Adenanthos apiculatus,leaf length maximum,mm,20
Adenanthos argyreus,leaf length maximum,mm,10
Adenanthos barbiger,leaf length maximum,mm,80
Adenanthos cacomorphus,leaf length maximum,mm,15
Adenanthos cuneatus,leaf length maximum,mm,20
Adenanthos cunninghamii,leaf length maximum,mm,30
Adenanthos cygnorum,leaf length maximum,mm,20
Adenanthos detmoldii,leaf length maximum,mm,80
Adenanthos dobagii,leaf length maximum,mm,20
Adenanthos dobsonii,leaf length maximum,mm,15
Adenanthos drummondii,leaf length maximum,mm,10
Adenanthos ellipticus,leaf length maximum,mm,30
Adenanthos eyrei,leaf length maximum,mm,15
Adenanthos filifolius,leaf length maximum,mm,20
Adenanthos flavidiflorus,leaf length maximum,mm,15
Adenanthos forrestii,leaf length maximum,mm,15
Adenanthos glabrescens,leaf length maximum,mm,25
Adenanthos glabrescens subsp. exasperatus,leaf length maximum,mm,15
Adenanthos glabrescens subsp. glabrescens,leaf length maximum,mm,24
Adenanthos ileticos,leaf length maximum,mm,10
Adenanthos labillardierei,leaf length maximum,mm,15
Adenanthos linearis,leaf length maximum,mm,30
Adenanthos macropodianus,leaf length maximum,mm,15
Adenanthos meisneri,leaf length maximum,mm,15
Adenanthos obovatus,leaf length maximum,mm,20
Adenanthos oreophilus,leaf length maximum,mm,20
Adenanthos pamela,leaf length maximum,mm,30
Adenanthos pungens,leaf length maximum,mm,30
Adenanthos sericeus subsp. sericeus,leaf length maximum,mm,45
Adenanthos sericeus subsp. sphalma,leaf length maximum,mm,30
Adenanthos stictus,leaf length maximum,mm,25
Adenanthos terminalis,leaf length maximum,mm,15
Adenanthos venosus,leaf length maximum,mm,15
Adonis microcarpa,leaf length maximum,cm,6
Afrocarpus falcata,leaf length maximum,cm,4.5
Agapanthus praecox,leaf length maximum,cm,80
Agastachys odorata,leaf length maximum,mm,100
Agathis atropurpurea,leaf length maximum,cm,7
Agathis microstachya,leaf length maximum,cm,9
Agathis robusta,leaf length maximum,cm,13
Agrostocrinum scabrum,leaf length maximum,cm,35
Ailanthus integrifolia subsp. integrifolia,leaf length maximum,cm,40
Ailanthus triphysa,leaf length maximum,cm,15
Akania lucens,leaf length maximum,cm,30
Alangium villosum,leaf length maximum,cm,20
Alangium villosum subsp. polyosmoides,leaf length maximum,cm,15
Alania endlicheri,leaf length maximum,cm,12
Albizia canescens,leaf length maximum,cm,5
Albizia lebbeck,leaf length maximum,cm,4.5
Albizia procera,leaf length maximum,cm,6
Albizia retusa subsp. retusa,leaf length maximum,mm,45
Albuca canadensis,leaf length maximum,cm,60
Alectryon connatus,leaf length maximum,cm,14.5
Alectryon coriaceus,leaf length maximum,cm,18.5
Alectryon forsythii,leaf length maximum,cm,6.5
Alectryon kimberleyanus,leaf length maximum,cm,5.5
Alectryon repandodentatus,leaf length maximum,cm,12
Alectryon subcinereus,leaf length maximum,cm,16.5
Alectryon subdentatus,leaf length maximum,cm,9.5
Alectryon tomentosus,leaf length maximum,cm,14.5
Alectryon unilobatus,leaf length maximum,cm,13
Allium ampeloprasum,leaf length maximum,cm,50
Allium neapolitanum,leaf length maximum,cm,35
Allium oleraceum,leaf length maximum,cm,25
Allium roseum,leaf length maximum,cm,40
Allium scorodoprasum,leaf length maximum,cm,27
Allium triquetrum,leaf length maximum,cm,45
Allium vineale,leaf length maximum,cm,60
Allocasuarina acuaria,leaf length maximum,cm,3
