species_name,trait,units,value
Allocasuarina acutivalvis,leaf length maximum,mm,25
Allocasuarina acutivalvis subsp. acutivalvis,leaf length maximum,mm,25
Allocasuarina acutivalvis subsp. prinsepiana,leaf length maximum,mm,20
Allocasuarina brachystachya,leaf length maximum,mm,5
Allocasuarina campestris,leaf length maximum,mm,13
Allocasuarina corniculata,leaf length maximum,mm,11
Allocasuarina crassa,leaf length maximum,mm,20
Allocasuarina decaisneana,leaf length maximum,cm,6
Allocasuarina decussata,leaf length maximum,mm,7
Allocasuarina defungens,leaf length maximum,mm,8
Allocasuarina dielsiana,leaf length maximum,mm,10
Allocasuarina diminuta,leaf length maximum,mm,12
Allocasuarina distyla,leaf length maximum,mm,20
Allocasuarina drummondiana,leaf length maximum,mm,2.5
Allocasuarina emuina,leaf length maximum,mm,8
Allocasuarina eriochlamys,leaf length maximum,mm,18
Allocasuarina eriochlamys subsp. eriochlamys,leaf length maximum,mm,14
Allocasuarina eriochlamys subsp. grossa,leaf length maximum,mm,18
Allocasuarina fibrosa,leaf length maximum,mm,16
Allocasuarina filidens,leaf length maximum,mm,15
Allocasuarina fraseriana,leaf length maximum,mm,15
Allocasuarina glareicola,leaf length maximum,mm,11
Allocasuarina globosa,leaf length maximum,mm,28
Allocasuarina grampiana,leaf length maximum,mm,12
Allocasuarina grevilleoides,leaf length maximum,mm,24
Allocasuarina gymnanthera,leaf length maximum,mm,12
Allocasuarina helmsii,leaf length maximum,mm,7
Allocasuarina huegeliana,leaf length maximum,mm,13
Allocasuarina humilis,leaf length maximum,mm,6
Allocasuarina inophloia,leaf length maximum,mm,7
Allocasuarina lehmanniana,leaf length maximum,mm,9
Allocasuarina littoralis,leaf length maximum,mm,10
Allocasuarina luehmannii,leaf length maximum,mm,22
Allocasuarina mackliniana,leaf length maximum,mm,17
Allocasuarina mackliniana subsp. hirtilinea,leaf length maximum,mm,15
Allocasuarina mackliniana subsp. mackliniana,leaf length maximum,mm,17
Allocasuarina mackliniana subsp. xerophila,leaf length maximum,mm,13
Allocasuarina media,leaf length maximum,mm,12
Allocasuarina microstachya,leaf length maximum,mm,6
Allocasuarina misera,leaf length maximum,mm,10
Allocasuarina monilifera,leaf length maximum,mm,11
Allocasuarina muelleriana,leaf length maximum,mm,11
Allocasuarina muelleriana subsp. alticola,leaf length maximum,mm,7
Allocasuarina muelleriana subsp. muelleriana,leaf length maximum,mm,0.8
Allocasuarina muelleriana subsp. notocolpica,leaf length maximum,mm,11
Allocasuarina nana,leaf length maximum,mm,6
Allocasuarina ophiolitica,leaf length maximum,mm,14
Allocasuarina paludosa,leaf length maximum,mm,14
Allocasuarina paradoxa,leaf length maximum,mm,14
Allocasuarina pinaster,leaf length maximum,cm,5
Allocasuarina portuensis,leaf length maximum,mm,20
Allocasuarina pusilla,leaf length maximum,mm,9
Allocasuarina ramosissima,leaf length maximum,mm,20
Allocasuarina rigida,leaf length maximum,mm,25
Allocasuarina rigida subsp. exsul,leaf length maximum,mm,14
Allocasuarina rigida subsp. rigida,leaf length maximum,mm,25
Allocasuarina robusta,leaf length maximum,mm,14
Allocasuarina rupicola,leaf length maximum,mm,11
Allocasuarina scleroclada,leaf length maximum,mm,52
Allocasuarina simulans,leaf length maximum,mm,22
Allocasuarina spinosissima,leaf length maximum,mm,13
Allocasuarina striata,leaf length maximum,mm,20
Allocasuarina tessellata,leaf length maximum,mm,14
Allocasuarina thalassoscopica,leaf length maximum,mm,12
Allocasuarina thuyoides,leaf length maximum,mm,3
Allocasuarina tortiramula,leaf length maximum,mm,10
Allocasuarina torulosa,leaf length maximum,mm,6
Allocasuarina trichodon,leaf length maximum,mm,15
Allocasuarina verticillata,leaf length maximum,mm,40
Allocasuarina zephyrea,leaf length maximum,mm,15
Allophylus cobbe,leaf length maximum,cm,13.5
Alloxylon flammeum,leaf length maximum,cm,25
Alloxylon pinnatum,leaf length maximum,cm,23
Alloxylon wickhamii,leaf length maximum,cm,17
Alnus cordata,leaf length maximum,cm,11
Aloe arborescens,leaf length maximum,cm,60
Aloe parvibracteata,leaf length maximum,cm,40
Aloe saponaria,leaf length maximum,cm,16
Aloe vera,leaf length maximum,cm,60
Alpinia arctiflora,leaf length maximum,cm,50
Alpinia arundelliana,leaf length maximum,cm,25
Alpinia coerulea,leaf length maximum,cm,40
Alpinia hylandii,leaf length maximum,cm,16
Alpinia modesta,leaf length maximum,cm,30
Alpinia racemigera,leaf length maximum,cm,40
Alstroemeria aurea,leaf length maximum,cm,11
Alstroemeria pulchella,leaf length maximum,cm,10
Ammannia pubiflora,leaf length maximum,cm,2.5
Amomum queenslandicum,leaf length maximum,cm,60
Amyema benthamii,leaf length maximum,mm,70
Amyema bifurcatum,leaf length maximum,cm,35
Amyema biniflorum,leaf length maximum,cm,18
Amyema cambagei,leaf length maximum,cm,15
Amyema congener,leaf length maximum,cm,10
Amyema congener subsp. congener,leaf length maximum,cm,10
Amyema congener subsp. divergens,leaf length maximum,cm,4.5
Amyema congener subsp. rotundifolium,leaf length maximum,cm,5
Amyema conspicuum,leaf length maximum,cm,8
Amyema dolichopodum,leaf length maximum,mm,60
Amyema fitzgeraldii,leaf length maximum,cm,4
Amyema friesianum,leaf length maximum,cm,20
Amyema gaudichaudii,leaf length maximum,mm,35
Amyema gibberulum,leaf length maximum,cm,10
Amyema glabrum,leaf length maximum,mm,65
Amyema haematodes,leaf length maximum,mm,70
Amyema herbertianum,leaf length maximum,cm,4
Amyema hillianum,leaf length maximum,cm,7
Amyema linophyllum,leaf length maximum,cm,12
Amyema linophyllum subsp. linophyllum,leaf length maximum,mm,2
Amyema linophyllum subsp. orientale,leaf length maximum,mm,2.5
Amyema lucasii,leaf length maximum,mm,55
Amyema mackayense,leaf length maximum,mm,60
Amyema maidenii,leaf length maximum,cm,6
Amyema maidenii subsp. angustifolium,leaf length maximum,cm,6
Amyema maidenii subsp. maidenii,leaf length maximum,cm,4
Amyema melaleucae,leaf length maximum,mm,35
Amyema microphyllum,leaf length maximum,mm,8
Amyema miquelii,leaf length maximum,cm,35
Amyema miraculosum,leaf length maximum,cm,10
Amyema miraculosum subsp. boormanii,leaf length maximum,cm,10
Amyema miraculosum subsp. miraculosum,leaf length maximum,mm,55
Amyema nestor,leaf length maximum,cm,7
Amyema pendulum,leaf length maximum,cm,40
Amyema preissii,leaf length maximum,cm,8
Amyema quandang,leaf length maximum,cm,12
Amyema quandang var. bancroftii,leaf length maximum,cm,45
Amyema quandang var. quandang,leaf length maximum,mm,20
Amyema quaternifolium,leaf length maximum,cm,11
Amyema queenslandicum,leaf length maximum,cm,8
Amyema sanguineum,leaf length maximum,cm,25
Amyema sanguineum var. pulchrum,leaf length maximum,cm,10
Amyema sanguineum var. sanguineum,leaf length maximum,cm,25
Amyema seemenianum,leaf length maximum,cm,30
Amyema seemenianum subsp. flexuosum,leaf length maximum,cm,12
Amyema subcapitatum,leaf length maximum,mm,55
Amyema thalassium,leaf length maximum,mm,45
Amyema tridactylum,leaf length maximum,cm,6
Amyema villiflorum,leaf length maximum,cm,9
Amyema whitei,leaf length maximum,cm,9
Amylotheca dictyophleba,leaf length maximum,cm,12
Amylotheca subumbellata,leaf length maximum,cm,15
Anemone crassifolia,leaf length maximum,cm,5
Anigozanthos bicolor,leaf length maximum,cm,35
Anigozanthos bicolor subsp. bicolor,leaf length maximum,cm,35
Anigozanthos bicolor subsp. decrescens,leaf length maximum,cm,25
Anigozanthos bicolor subsp. exstans,leaf length maximum,cm,15
Anigozanthos bicolor subsp. minor,leaf length maximum,cm,10
Anigozanthos flavidus,leaf length maximum,cm,100
Anigozanthos gabrielae,leaf length maximum,cm,12
Anigozanthos humilis,leaf length maximum,cm,20
Anigozanthos kalbarriensis,leaf length maximum,cm,12
Anigozanthos manglesii,leaf length maximum,cm,40
Anigozanthos onycis,leaf length maximum,cm,15
Anigozanthos preissii,leaf length maximum,cm,25
Anigozanthos rufus,leaf length maximum,cm,40
Anigozanthos viridis,leaf length maximum,cm,50
Anigozanthos viridis subsp. terraspectans,leaf length maximum,cm,10
Anigozanthos viridis subsp. viridis,leaf length maximum,cm,50
Anthobolus filifolius,leaf length maximum,cm,5
Anthobolus foveolatus,leaf length maximum,cm,4.5
Anthotium humile,leaf length maximum,cm,11
Anthotium junciforme,leaf length maximum,cm,14.5
Anthotium rubriflorum,leaf length maximum,cm,8
Antiaris toxicaria var. macrophylla,leaf length maximum,cm,17
Apatophyllum constablei,leaf length maximum,cm,1.5
Apatophyllum olsenii,leaf length maximum,mm,22
Aphananthe philippinensis,leaf length maximum,cm,10
Apodytes brachystylis,leaf length maximum,cm,15
Araucaria bidwillii,leaf length maximum,cm,5
Araucaria cunninghamii var. cunninghamii,leaf length maximum,mm,8
Archidendron grandiflorum,leaf length maximum,cm,11.5
Archidendron hendersonii,leaf length maximum,cm,18
Archidendron hirsutum,leaf length maximum,mm,18
Archidendron kanisii,leaf length maximum,cm,16.5
Archidendron lovellae,leaf length maximum,cm,10
Archidendron lucyi,leaf length maximum,cm,23
Archidendron muellerianum,leaf length maximum,cm,9.5
Archidendron ramiflorum,leaf length maximum,cm,4
Archidendron vaillantii,leaf length maximum,cm,18
Archidendron whitei,leaf length maximum,cm,16
Archidendropsis basaltica,leaf length maximum,mm,10
Archidendropsis thozetiana,leaf length maximum,mm,38
Archidendropsis xanthoxylon,leaf length maximum,cm,10
Aristolochia acuminata,leaf length maximum,cm,23
Aristolochia chalmersii,leaf length maximum,cm,8
Aristolochia elegans,leaf length maximum,cm,10.2
Aristolochia holtzei,leaf length maximum,cm,15
Aristolochia meridionalis,leaf length maximum,cm,11.5
Aristolochia meridionalis subsp. centralis,leaf length maximum,cm,11.5
Aristolochia meridionalis subsp. meridionalis,leaf length maximum,cm,9
Aristolochia pubera,leaf length maximum,cm,13
Aristolochia ringens,leaf length maximum,mm,20
Aristolochia thozetii,leaf length maximum,cm,4.5
Arnhemia cryptantha,leaf length maximum,mm,35
Arnocrinum drummondii,leaf length maximum,mm,70
Arnocrinum gracillimum,leaf length maximum,cm,4
Arnocrinum preissii,leaf length maximum,mm,80
Artabotrys carnosipetalus,leaf length maximum,cm,20
Arthropodium curvipes,leaf length maximum,cm,4
Arthropodium dyeri,leaf length maximum,cm,15
Arthropodium milleflorum,leaf length maximum,cm,60
Arthropodium minus,leaf length maximum,cm,34
Artocarpus glaucus,leaf length maximum,cm,18
Arytera bifoliolata,leaf length maximum,cm,19.5
Arytera dictyoneura,leaf length maximum,cm,6
Arytera distylis,leaf length maximum,cm,7.5
Arytera divaricata,leaf length maximum,cm,11
Arytera foveolata,leaf length maximum,cm,12.5
Arytera lautereriana,leaf length maximum,cm,15
Arytera macrobotrys,leaf length maximum,cm,20.5
Arytera microphylla,leaf length maximum,cm,5
Arytera pauciflora,leaf length maximum,cm,17.5
Astelia alpina,leaf length maximum,cm,40
Astelia alpina var. alpina,leaf length maximum,cm,35
Astelia alpina var. novae-hollandiae,leaf length maximum,cm,17
Astelia australiana,leaf length maximum,cm,230
Astelia psychrocharis,leaf length maximum,cm,20
Atalaya angustifolia,leaf length maximum,cm,7
Atalaya australiana,leaf length maximum,cm,14
Atalaya calcicola,leaf length maximum,cm,14
Atalaya hemiglauca,leaf length maximum,cm,16
Atalaya multiflora,leaf length maximum,cm,9.5
Atalaya rigida,leaf length maximum,cm,14.5
Atalaya salicifolia,leaf length maximum,cm,13.5
Atalaya sericopetala,leaf length maximum,cm,17
Atherosperma moschatum,leaf length maximum,cm,9.5
Athertonia diversifolia,leaf length maximum,cm,80
Athrotaxis cupressoides,leaf length maximum,mm,5
Athrotaxis selaginoides,leaf length maximum,mm,12
Atkinsonia ligustrina,leaf length maximum,mm,55
Australina pusilla,leaf length maximum,mm,60
Austrobaileya scandens,leaf length maximum,cm,20
Austromatthaea elegans,leaf length maximum,cm,19
Austromuellera valida,leaf length maximum,cm,12
Balanops australiana,leaf length maximum,cm,9
Banksia aculeata,leaf length maximum,cm,9
Banksia aemula,leaf length maximum,cm,22
Banksia aquilonia,leaf length maximum,cm,20
Banksia ashbyi,leaf length maximum,cm,30
Banksia attenuata,leaf length maximum,cm,27
Banksia audax,leaf length maximum,cm,7
Banksia baueri,leaf length maximum,cm,13
Banksia baxteri,leaf length maximum,cm,17
Banksia benthamiana,leaf length maximum,cm,25
Banksia blechnifolia,leaf length maximum,cm,30
Banksia brownii,leaf length maximum,cm,11
Banksia burdettii,leaf length maximum,cm,16
Banksia caleyi,leaf length maximum,cm,14
Banksia candolleana,leaf length maximum,cm,40
Banksia canei,leaf length maximum,cm,5
Banksia chamaephyton,leaf length maximum,cm,30
Banksia coccinea,leaf length maximum,cm,9
Banksia conferta,leaf length maximum,cm,12
Banksia cuneata,leaf length maximum,cm,4
Banksia dentata,leaf length maximum,cm,22
Banksia dryandroides,leaf length maximum,cm,17
Banksia elderiana,leaf length maximum,cm,40
Banksia elegans,leaf length maximum,cm,45
Banksia epica,leaf length maximum,mm,50
Banksia ericifolia,leaf length maximum,mm,20
Banksia gardneri,leaf length maximum,cm,28
Banksia goodii,leaf length maximum,cm,30
Banksia grandis,leaf length maximum,cm,45
Banksia grossa,leaf length maximum,cm,12
Banksia hookeriana,leaf length maximum,cm,16
Banksia ilicifolia,leaf length maximum,cm,10
Banksia incana,leaf length maximum,cm,6
Banksia integrifolia,leaf length maximum,cm,20
Banksia integrifolia subsp. compar,leaf length maximum,cm,20
Banksia integrifolia subsp. integrifolia,leaf length maximum,cm,10
Banksia integrifolia subsp. monticola,leaf length maximum,cm,13
Banksia laevigata,leaf length maximum,cm,14
Banksia lanata,leaf length maximum,cm,10
Banksia laricina,leaf length maximum,mm,15
Banksia lemanniana,leaf length maximum,cm,9
Banksia leptophylla,leaf length maximum,cm,10
Banksia lindleyana,leaf length maximum,cm,13
Banksia littoralis,leaf length maximum,cm,23
Banksia lullfitzii,leaf length maximum,cm,45
Banksia marginata,leaf length maximum,mm,60
Banksia media,leaf length maximum,cm,12
Banksia meisneri,leaf length maximum,mm,15
Banksia meisneri subsp. ascendens,leaf length maximum,mm,15
Banksia meisneri subsp. meisneri,leaf length maximum,mm,7
Banksia menziesii,leaf length maximum,cm,25
Banksia micrantha,leaf length maximum,cm,3
Banksia nutans,leaf length maximum,mm,20
Banksia oblongifolia,leaf length maximum,cm,11
Banksia occidentalis,leaf length maximum,cm,13
Banksia oligantha,leaf length maximum,cm,3.7
Banksia oreophila,leaf length maximum,cm,11
Banksia ornata,leaf length maximum,cm,10
Banksia paludosa,leaf length maximum,cm,13
Banksia petiolaris,leaf length maximum,cm,40
Banksia pilostylis,leaf length maximum,cm,16
Banksia plagiocarpa,leaf length maximum,cm,20
Banksia praemorsa,leaf length maximum,cm,6
Banksia prionotes,leaf length maximum,cm,27
Banksia pulchella,leaf length maximum,mm,13
Banksia quercifolia,leaf length maximum,cm,15
Banksia repens,leaf length maximum,cm,40
Banksia robur,leaf length maximum,cm,30
Banksia saxicola,leaf length maximum,cm,10
Banksia scabrella,leaf length maximum,mm,35
Banksia sceptrum,leaf length maximum,cm,9
Banksia seminuda,leaf length maximum,cm,12
Banksia serra,leaf length maximum,cm,22
Banksia serrata,leaf length maximum,cm,22
Banksia solandri,leaf length maximum,cm,30
Banksia speciosa,leaf length maximum,cm,45
Banksia sphaerocarpa,leaf length maximum,cm,10
Banksia spinulosa,leaf length maximum,mm,12
Banksia telmatiaea,leaf length maximum,cm,3
Banksia tricuspis,leaf length maximum,cm,13
Banksia verticillata,leaf length maximum,cm,9
Banksia victoriae,leaf length maximum,cm,35
Banksia violacea,leaf length maximum,cm,2
Barklya syringifolia,leaf length maximum,cm,9
Bauhinia binata,leaf length maximum,cm,4.5
Bauhinia carronii,leaf length maximum,mm,35
Bauhinia cunninghamii,leaf length maximum,cm,4
Bauhinia gilva,leaf length maximum,mm,37
Bauhinia hookeri,leaf length maximum,cm,5
Bauhinia malabarica,leaf length maximum,cm,11
Baxteria australis,leaf length maximum,cm,50
Beilschmiedia bancroftii,leaf length maximum,cm,15.5
Beilschmiedia brunnea,leaf length maximum,cm,12.5
Beilschmiedia castrisinensis,leaf length maximum,cm,12.6
Beilschmiedia collina,leaf length maximum,cm,15
Beilschmiedia elliptica,leaf length maximum,cm,13
Beilschmiedia obtusifolia,leaf length maximum,cm,17
Beilschmiedia oligandra,leaf length maximum,cm,12.2
Beilschmiedia peninsularis,leaf length maximum,cm,13
Beilschmiedia recurva,leaf length maximum,cm,12.7
Beilschmiedia tooram,leaf length maximum,cm,21
Beilschmiedia volckii,leaf length maximum,cm,27
Bellendena montana,leaf length maximum,cm,6
Benthamina alyxifolia,leaf length maximum,mm,75
Blancoa canescens,leaf length maximum,cm,25
Blandfordia cunninghamii,leaf length maximum,mm,1
Blandfordia grandiflora,leaf length maximum,cm,70
Blandfordia nobilis,leaf length maximum,cm,60
Blandfordia punicea,leaf length maximum,cm,35
Blepharocarya depauperata,leaf length maximum,cm,7
Blepharocarya involucrigera,leaf length maximum,cm,15
Borya constricta,leaf length maximum,mm,20
Borya jabirabela,leaf length maximum,cm,5
Borya laciniata,leaf length maximum,mm,20
Borya longiscapa,leaf length maximum,mm,75
Borya mirabilis,leaf length maximum,cm,1.6
Borya nitida,leaf length maximum,mm,20
Borya scirpoidea,leaf length maximum,mm,60
Borya septentrionalis,leaf length maximum,mm,50
Borya sphaerocephala,leaf length maximum,cm,12
Borya subulata,leaf length maximum,cm,7
Bowenia serrulata,leaf length maximum,cm,200
Bowenia spectabilis,leaf length maximum,cm,200
Brasenia schreberi,leaf length maximum,cm,11.5
Brucea javanica,leaf length maximum,cm,13
Bruguiera cylindrica,leaf length maximum,cm,17
Bruguiera exaristata,leaf length maximum,cm,10
Bruguiera gymnorhiza,leaf length maximum,cm,20
Bruguiera parviflora,leaf length maximum,cm,13
Bruguiera sexangula,leaf length maximum,cm,16
Brunonia australis,leaf length maximum,cm,15
Bubbia queenslandiana,leaf length maximum,cm,16
Bubbia semecarpoides,leaf length maximum,cm,36
Bubbia whiteana,leaf length maximum,cm,12
Buchanania arborescens,leaf length maximum,cm,26
Buchanania mangoides,leaf length maximum,cm,30
Buchanania obovata,leaf length maximum,cm,25
Buckinghamia celsissima,leaf length maximum,cm,16
Buckinghamia ferruginiflora,leaf length maximum,cm,20
Caesalpinia bonduc,leaf length maximum,cm,6.5
Caesalpinia crista,leaf length maximum,cm,10
Caesalpinia decapetala,leaf length maximum,mm,18
Caesalpinia erythrocarpa,leaf length maximum,mm,20
Caesalpinia gilliesii,leaf length maximum,mm,6
Caesalpinia hymenocarpa,leaf length maximum,mm,22
Caesalpinia major,leaf length maximum,cm,9
Caesalpinia nitens,leaf length maximum,mm,24
Caesalpinia scortechinii,leaf length maximum,cm,3
Caesalpinia subtropica,leaf length maximum,mm,19
Caesalpinia traceyi,leaf length maximum,mm,19
Caesia alpina,leaf length maximum,cm,15
Caesia calliantha,leaf length maximum,cm,50
Caesia chlorantha,leaf length maximum,cm,40
Caesia micrantha,leaf length maximum,cm,65
Caesia occidentalis,leaf length maximum,cm,55
Caesia parviflora,leaf length maximum,cm,40
Caesia parviflora var. minor,leaf length maximum,cm,20
Caesia parviflora var. parviflora,leaf length maximum,cm,75
Caesia parviflora var. vittata,leaf length maximum,cm,50
Caesia rigidifolia,leaf length maximum,cm,35
Caesia setifera,leaf length maximum,cm,35
Calectasia cyanea,leaf length maximum,mm,15
Calectasia grandiflora,leaf length maximum,mm,15
Calectasia intermedia,leaf length maximum,mm,17
Calliandra surinamensis,leaf length maximum,mm,6
Callipteris prolifera,leaf length maximum,m,1.5
Callitris baileyi,leaf length maximum,mm,2
Callitris canescens,leaf length maximum,mm,4
Callitris columellaris,leaf length maximum,mm,3
Callitris drummondii,leaf length maximum,mm,4
Callitris endlicheri,leaf length maximum,mm,2
Callitris glaucophylla,leaf length maximum,mm,3
Callitris gracilis,leaf length maximum,mm,4
Callitris intratropica,leaf length maximum,mm,2
Callitris macleayana,leaf length maximum,mm,3
Callitris monticola,leaf length maximum,mm,3
Callitris muelleri,leaf length maximum,mm,8
Callitris oblonga,leaf length maximum,mm,4
Callitris preissii,leaf length maximum,mm,4
Callitris rhomboidea,leaf length maximum,mm,2.5
Callitris roei,leaf length maximum,mm,5
Callitris tuberculata,leaf length maximum,mm,4
Callitris verrucosa,leaf length maximum,mm,4
Calostemma luteum,leaf length maximum,cm,50
Calostemma purpureum,leaf length maximum,cm,60
Cananga odorata,leaf length maximum,cm,20
Canarium australasicum,leaf length maximum,cm,18
Canarium australianum,leaf length maximum,cm,18
Canarium muelleri,leaf length maximum,cm,10
Canarium vitiense,leaf length maximum,cm,12
Canna generalis,leaf length maximum,cm,45
Canna indica,leaf length maximum,cm,45
Canna orchiodes,leaf length maximum,cm,45
Cansjera leptostachya,leaf length maximum,cm,9
Carallia brachiata,leaf length maximum,cm,15
Cardiopteris moluccana,leaf length maximum,cm,24
Cardiospermum grandiflorum,leaf length maximum,cm,8
Cardiospermum halicacabum,leaf length maximum,cm,3.5
Carnarvonia araliifolia,leaf length maximum,cm,20
Carnarvonia araliifolia var. araliifolia,leaf length maximum,cm,12
Carnarvonia araliifolia var. montana,leaf length maximum,cm,8
Carronia multisepalea,leaf length maximum,cm,22
Carronia pedicellata,leaf length maximum,cm,16
Carronia protensa,leaf length maximum,cm,37
Cassia brewsteri,leaf length maximum,cm,25
Cassia brewsteri var. marksiana,leaf length maximum,cm,8.5
Cassia brewsteri var. tomentella,leaf length maximum,cm,6
Cassia fistula,leaf length maximum,cm,50
Cassine australis,leaf length maximum,cm,10
Cassine australis var. angustifolia,leaf length maximum,cm,10
Cassine australis var. australis,leaf length maximum,cm,10
Cassine melanocarpa,leaf length maximum,cm,13
Cassytha muelleri,leaf length maximum,mm,1.5
Cassytha racemosa,leaf length maximum,mm,2.5
Castanospora alphandi,leaf length maximum,cm,17.5
Casuarina equisetifolia subsp. equisetifolia,leaf length maximum,mm,8
Catalepidia heyana,leaf length maximum,mm,15
Cathormion umbellatum subsp. moniliforme,leaf length maximum,cm,5
Cecarria obtusifolia,leaf length maximum,mm,55
Celastrus australis,leaf length maximum,cm,9
Celastrus subspicata,leaf length maximum,cm,14
Celtis australis,leaf length maximum,cm,15
Celtis occidentalis,leaf length maximum,cm,12
Celtis paniculata,leaf length maximum,cm,15
Celtis philippensis,leaf length maximum,cm,18
Celtis sinensis,leaf length maximum,cm,10
Cenarrhenes nitida,leaf length maximum,cm,16
Ceratonia siliqua,leaf length maximum,cm,6
Ceratophyllum demersum,leaf length maximum,cm,4
Ceriops tagal,leaf length maximum,cm,9
Chamaecrista biddulphiana,leaf length maximum,mm,9
Chamaecrista concinna,leaf length maximum,mm,9
Chamaecrista deserti,leaf length maximum,mm,4
Chamaecrista exigua,leaf length maximum,mm,6.5
Chamaecrista grisea,leaf length maximum,mm,7
Chamaecrista longipes,leaf length maximum,mm,5.5
Chamaecrista moorei,leaf length maximum,mm,7
Chamaecrista symonii,leaf length maximum,mm,6
Chamaescilla corymbosa,leaf length maximum,cm,25
Chamaescilla spiralis,leaf length maximum,cm,15
Chamaexeros macranthera,leaf length maximum,cm,30
Chamaexeros serra,leaf length maximum,cm,20
Choretrum candollei,leaf length maximum,mm,2
Choretrum glomeratum,leaf length maximum,mm,1
Choretrum lateriflorum,leaf length maximum,mm,2
Choretrum pauciflorum,leaf length maximum,mm,1
Choretrum pritzelii,leaf length maximum,mm,1.5
Choretrum spicatum,leaf length maximum,cm,2.5
Cinnamomum baileyanum,leaf length maximum,cm,13
Cinnamomum laubatii,leaf length maximum,cm,14.5
Cinnamomum oliveri,leaf length maximum,cm,17
Cinnamomum propinquum,leaf length maximum,mm,9.5
Cinnamomum virens,leaf length maximum,cm,9
Cissampelos pareira var. hirsuta,leaf length maximum,cm,11
