species_name,Block!,Column!,Row!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,Photo,Cond,Photo_D,Cond_D,area_mm2,SLA_cm_g:4,%N:1,date,date2
Aciphylla glacialis,3,14,e,5,LoElev,HiWat,9,ag5LoElev9,7,4,11,1.53547093,0.041376501,0.387128329,0.041298817,NA,NA,2,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,6,e,5,LoElev,LoWat,10,ag5LoElev10,10,6,16,13.80287547,0.386441296,13.76286317,0.342539091,697.2,60,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,3,d,5,LoElev,HiWat,11,ag5LoElev11,8,0,8,5.84639091,0.101047965,9.141378224,0.148392681,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,2,g,5,LoElev,HiWat,12,ag5LoElev12,12,3,15,2.470539074,0.024468812,15.44498019,0.298650304,600.9,62.0124,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,3,f,5,LoElev,HiWat,13,ag5LoElev13,7,0,7,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,12,e,5,LoElev,LoWat,14,ag5LoElev14,6,3,9,7.194717669,0.119246157,5.423894042,0.085232055,211.1,58.6389,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,1,c,5,LoElev,LoWat,15,ag5LoElev15,6,4,10,15.0114342,0.387658387,0.557500382,0.056158778,194.2,71.9259,1.2,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,8,b,5,LoElev,LoWat,16,ag5LoElev16,8,2,10,6.288594904,0.183664532,4.998497856,0.085182834,371,60.1297,0.7,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,13,e,5,LoElev,HiWat,17,ag5LoElev17,7,1,8,10.84929403,0.170204086,7.440808912,0.091250776,235.1,65.6704,0.7,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,5,b,5,LoElev,LoWat,18,ag5LoElev18,7,3,10,NA,NA,NA,NA,236.3,66.7514,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,1,g,5,LoElev,HiWat,x1,ag5LoElevx1,NA,5,5,NA,NA,NA,NA,313.3,97.9063,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,13,e,6,LoElev,LoWat,1,ag6LoElev1,8,5,13,8.064744785,0.180387946,7.872548207,0.231708184,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,11,f,6,LoElev,HiWat,2,ag6LoElev2,9,4,13,10.92193972,0.17843091,12.80412377,0.527373286,1163.2,63.4242,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,8,f,6,LoElev,HiWat,3,ag6LoElev3,9,4,13,10.02728795,0.20111877,10.1257944,0.209147184,0,NA,2.7,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,11,c,6,LoElev,LoWat,4,ag6LoElev4,8,2,10,6.127030402,0.155294196,4.528125735,0.160120151,186.8,65.0871,1.2,26-Nov-11,16-Dec-11
