site_TEXT,name_original,TRAIT Growth Form CATEGORICAL EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine,TRAIT SLA UNITS mm2/mg,TRAIT Leaf Size UNITS mm2,TRAIT Leaf Dry Mass UNITS g
Rosewood,Maytenus cunninghamii,S,5.2,88.9,0.017
Rosewood,Medicago sp,H,12.8,17.1,0.001
Rosewood,Melinis repens,G,11.1,64.4,0.006
Rosewood,Myoporum montanum,S,6.4,532.8,0.084
Rosewood,Olearia ramulosa,S,4.6,7.2,0.002
Rosewood,Oxalis corniculata,H,22.4,12.1,0.001
Rosewood,Panicum sp,G,6.4,104.3,0.016
Rosewood,Paspalidium constrictum,G,4.6,41.8,0.009
Rosewood,Prostanthera striatiflora,S,3.3,25.1,0.008
Rosewood,Sclerolaena diacantha,S,3.1,6.4,0.002
Rosewood,Senna artemisioides artemisioides,S,2.6,13.4,0.005
Rosewood,Sida corrugata,H,5.6,122.5,0.022
Rosewood,Solanum sp,,8,1392.1,0.173
Rosewood,Vittadinia cuneata,H,13.2,8.7,0.001
Tundalya,Alyssum linifolium,H,12.8,29.7,0.002
Tundalya,Atriplex holocarpa,S,13.7,266.4,0.02
Tundalya,Atriplex leptocarpa,S,18.8,572.3,0.03
Tundalya,Atriplex pseudocampanulata,S,15.2,114.3,0.008
Tundalya,Brachyscome curvicarpa,,12.6,48.3,0.004
Tundalya,Brassica tournefortii,H,10.6,308,0.029
Tundalya,Bulbine semibarbata,,14.7,354,0.024
Tundalya,Chenopodium sp,S,19.6,105.6,0.005
Tundalya,Cynoglossum australe,H,11.7,522.2,0.045
Tundalya,Einadia nutans,S,11.1,36.2,0.003
Tundalya,Eragrostis setifolia,G,8.9,32.7,0.004
Tundalya,Erodium cicutarium,H,36.4,47.4,0.001
Tundalya,Eucalyptus microtheca,T,5.3,877.2,0.167
Tundalya,Euphorbia drummondii,H,16.1,5.2,0
Tundalya,Harmsiodoxa puberula,H,15.5,376.1,0.024
Tundalya,Hordeum leporinum,G,18.2,156.9,0.009
Tundalya,Ixiolaena leptolepis,H,20.6,135.1,0.007
Tundalya,Lepidium sp,H,18.5,91.3,0.005
Tundalya,Maireana sclerolaenoides,S,11.9,8.9,0.001
Tundalya,Panicum sp,G,12.7,79.7,0.006
Tundalya,Phlegmatospermum cochlearinum,H,17.5,61.3,0.004
Tundalya,Portulaca oleracea,H,15.6,53,0.003
Tundalya,Pycnosorus chrysanthus,H,20.8,49.8,0.002
Tundalya,Rhodanthe microglossa,H,12.6,229.6,0.018
Tundalya,Rhodanthe stricta,H,14,63.5,0.005
Tundalya,Sclerolaena calcarata,S,8.6,9.2,0.001
Tundalya,Sclerolaena intricata,S,9.4,29.8,0.003
Tundalya,Sclerolaena muricata,S,9.5,22.9,0.002
Tundalya,Senecio glossanthus,H,13.6,112.9,0.008
Tundalya,Swainsona phacoides,S,18.5,69.2,0.004
Tundalya,Tetragonia tetragonioides,H,16.3,561.9,0.034
Tundalya,Threlkeldia proceriflora,,11.7,23.4,0.002
Tundalya,Zygophyllum iodocarpum,H,10.6,87.1,0.008
