species,growth_form,leaf_type,height_max_cm,leaf_length_min_mm,leaf_length_max_mm,seed_length_min_mm,seed_length_max_mm
Daviesia microphylla,shrub,phyllode,60,2.5,5,,
Daviesia oxyclada,shrub,phyllode,60,5,10,,
Daviesia dielsii,shrub,phyllode,100,2,4,,
Daviesia polyphylla,shrub,phyllode,60,5,20,3.5,4
Daviesia angulata,shrub,phyllode,120,10,35,,4
Daviesia preissii,shrub,phyllode,100,10,40,,3.3
Daviesia spinosissima,shrub,phyllode,180,7,15,,
Daviesia striata,shrub,phyllode,120,7,16,,
Daviesia chapmanii,shrub,phyllode,80,10,15,,3
Daviesia crassa,shrub,phyllode,180,10,40,,
Daviesia pachyphylla,shrub,phyllode,150,12,27,,
Daviesia euphorbioides,subshrub,phyllode,80,0.5,2.5,,
Daviesia rhizomata,shrub,phyllode,,4,45,,
