Data_Set,Branch_ID,Species,site,branch location,Form,LMA,Area,TN,TC,Photo
2014,TD_2,Alstonia scholaris,Crane,canopy crown,Tree,117.6,44.5,2.358,45.475,15.115
2014,TD_23,Archontophoenix alexandrae,Crane,canopy crown,Tree,123.6,181.2,1.535,45.147,6.826
2014,TD_14,Argyrodendron peralatum,Crane,canopy crown,Tree,205.7,25.9,1.332,49.275,15.114
2014,TD_35,Austromuellera trinervia,Crane,canopy crown,Tree,114.6,35.5,1.508,47.799,7.759
2014,TD_29,Brombya platynema,Crane,canopy crown,Tree,106.1,64.4,1.672,44.909,9.435
2014,TD_64,Calamus australis,Crane,canopy crown,Liana,91.8,79.1,1.728,44.153,NA
2014,TD_63,Calamus radicaulis,Crane,canopy crown,Liana,85.4,81.4,1.647,43.977,NA
2014,TD_7,Cardwellia sublimis,Crane,canopy crown,Tree,143.3,43,1.058,46.172,7.541
2014,TD_20,Castanospermum australe,Crane,canopy crown,Tree,105.4,46.1,3.136,46.909,6.125
2014,TD_22,Cayratia saponaria,Crane,canopy crown,Liana,88.7,120.7,2.805,41.715,9.336
2014,TD_50,Celtis paniculata,Crane,canopy crown,Tree,126.2,18.2,1.941,42.165,9.774
2014,TD_10,Cleistanthus myrianthus,Crane,canopy crown,Tree,85.9,59.5,1.862,43.317,5.212
2014,TD_37,Cleistanthus myrianthus,Crane,canopy crown,Tree,95.9,54.7,2.409,44.539,5.086
2014,TD_9,Cryptocarya grandis,Crane,canopy crown,Tree,113.4,41.4,2.168,45.03,8.818
2014,TD_3,Cryptocarya hypospodia,Crane,canopy crown,Tree,162.1,29.1,1.566,47.389,14.555
2014,TD_39,Cryptocarya mackinnoniana,Crane,canopy crown,Tree,161.6,167.1,1.487,47.553,15.053
2014,TD_17,Cryptocarya murrayi,Crane,canopy crown,Tree,125.3,134.6,2.387,46.505,10.87
2014,TD_49,Doryphora aromatica,Crane,canopy crown,Tree,99.9,20.5,2.099,49.351,7.083
2014,TD_52,Doryphora aromatica,Crane,canopy crown,Tree,92.1,13.8,2.044,49.607,7.705
2014,TD_24,Dysoxylum alliaceum,Crane,canopy crown,Tree,110,66.1,2.603,45.149,7.298
2014,TD_43,Dysoxylum arborescens,Crane,canopy crown,Tree,121.8,61,1.964,44.139,5.637
2014,TD_15,Dysoxylum papuanum,Crane,canopy crown,Tree,102.8,31.1,3.04,46.687,5.554
2014,TD_58,Dysoxylum parasiticum,Crane,canopy crown,Tree,85.9,90.6,2.861,49.328,NA
2014,TD_5,Dysoxylum pettigrewianum,Crane,canopy crown,Tree,130.4,89.6,3.16,46.292,12.168
2014,TD_32,Dysoxylum pettigrewianum,Crane,canopy crown,Tree,123.4,81.6,3.229,46.754,4.261
2014,TD_53,Dysoxylum pettigrewianum,Crane,canopy crown,Tree,116.7,122.1,2.89,48.747,4.099
2014,TD_19,Elaeocarpus angustifolius,Crane,canopy crown,Tree,139.4,21.9,1.978,43.893,15.299
2014,TD_51,Emmenosperma cunninghamii,Crane,canopy crown,Tree,121.5,24.4,1.467,46.189,13.067
2014,TD_45,Endiandra insignis,Crane,canopy crown,Tree,133.9,66.3,1.855,43.817,7.565
2014,TD_41,Endiandra leptodendron,Crane,canopy crown,Tree,135,78.2,1.315,47.052,7.977
2014,TD_28,Endiandra microneura,Crane,canopy crown,Tree,153.6,27.2,1.756,43.87,12.322
2014,TD_6,Entada phaseoloides,Crane,canopy crown,Liana,83.1,38.1,3.839,45.309,8.93
2014,TD_26,Epipremnum pinnatum,Crane,canopy crown,Liana,64.2,89.7,2.658,41.92,6.01
2014,TD_8,Ficus destruens,Crane,canopy crown,Liana,202.1,45.7,1.335,48.641,17.071
2014,TD_54,Ficus variegata,Crane,canopy crown,Tree,74.3,123.1,2.432,43.694,8.162
2014,TD_55,Ganophyllum falcatum,Crane,canopy crown,Tree,112.5,23.6,1.811,48.417,6.55
2014,TD_42,Gillbeea whypallana,Crane,canopy crown,Tree,99.9,39.3,2.134,45.369,8.355
2014,TD_56,Glochidion sumatranum,Crane,canopy crown,Tree,97.8,32.2,2,47.722,11.703
2014,TD_57,Gomphandra australiana,Crane,canopy crown,Tree,106.2,79.4,2.248,45.562,6.68
2014,TD_62,Hypserpa decumbens,Crane,canopy crown,Liana,43.6,55.6,1.898,45.003,NA
